sample	tissue	path
m140326_100642	liver	m140326_100642_42141_c110038412550000001823107706241405_s1_p0.2.bax.h5
m140326_100642	liver	m140326_100642_42141_c110038412550000001823107706241405_s1_p0.3.bax.h5
m140326_132650	liver	m140326_132650_42141_c110038412550000001823107706241406_s1_p0.1.bax.h5
m140326_132650	liver	m140326_132650_42141_c110038412550000001823107706241406_s1_p0.2.bax.h5
m140326_132650	liver	m140326_132650_42141_c110038412550000001823107706241406_s1_p0.3.bax.h5
m140326_164643	liver	m140326_164643_42141_c110038412550000001823107706241407_s1_p0.1.bax.h5
m140326_164643	liver	m140326_164643_42141_c110038412550000001823107706241407_s1_p0.2.bax.h5
m140326_164643	liver	m140326_164643_42141_c110038412550000001823107706241407_s1_p0.3.bax.h5
m140327_214046	liver	m140327_214046_sherri_c110045012490000001823114106241490_s1_p0.1.bax.h5
m140327_214046	liver	m140327_214046_sherri_c110045012490000001823114106241490_s1_p0.2.bax.h5
m140327_214046	liver	m140327_214046_sherri_c110045012490000001823114106241490_s1_p0.3.bax.h5
m140328_011325	liver	m140328_011325_sherri_c110045012490000001823114106241493_s1_p0.1.bax.h5
m140328_011325	liver	m140328_011325_sherri_c110045012490000001823114106241493_s1_p0.2.bax.h5
m140328_011325	liver	m140328_011325_sherri_c110045012490000001823114106241493_s1_p0.3.bax.h5
m140328_044318	liver	m140328_044318_sherri_c110045012490000001823114106241494_s1_p0.1.bax.h5
m140328_044318	liver	m140328_044318_sherri_c110045012490000001823114106241494_s1_p0.2.bax.h5
m140328_044318	liver	m140328_044318_sherri_c110045012490000001823114106241494_s1_p0.3.bax.h5
m140328_081253	liver	m140328_081253_sherri_c110045012490000001823114106241495_s1_p0.1.bax.h5
m140328_081253	liver	m140328_081253_sherri_c110045012490000001823114106241495_s1_p0.2.bax.h5
m140328_081253	liver	m140328_081253_sherri_c110045012490000001823114106241495_s1_p0.3.bax.h5
m140328_114130	liver	m140328_114130_sherri_c110045012490000001823114106241496_s1_p0.1.bax.h5
m140328_114130	liver	m140328_114130_sherri_c110045012490000001823114106241496_s1_p0.2.bax.h5
m140328_114130	liver	m140328_114130_sherri_c110045012490000001823114106241496_s1_p0.3.bax.h5
m140328_151420	liver	m140328_151420_sherri_c110045012490000001823114106241497_s1_p0.1.bax.h5
m140328_151420	liver	m140328_151420_sherri_c110045012490000001823114106241497_s1_p0.2.bax.h5
m140328_151420	liver	m140328_151420_sherri_c110045012490000001823114106241497_s1_p0.3.bax.h5
m140408_022216	liver	m140408_022216_42141_c110031780070000001823100905301410_s1_p0.1.bax.h5
m140408_022216	liver	m140408_022216_42141_c110031780070000001823100905301410_s1_p0.2.bax.h5
m140408_022216	liver	m140408_022216_42141_c110031780070000001823100905301410_s1_p0.3.bax.h5
m140408_022527	liver	m140408_022527_sherri_c110020411270000001823099305201403_s1_p0.1.bax.h5
m140408_022527	liver	m140408_022527_sherri_c110020411270000001823099305201403_s1_p0.2.bax.h5
m140408_022527	liver	m140408_022527_sherri_c110020411270000001823099305201403_s1_p0.3.bax.h5
m140408_054129	liver	m140408_054129_42141_c110031780070000001823100905301411_s1_p0.1.bax.h5
m140408_054129	liver	m140408_054129_42141_c110031780070000001823100905301411_s1_p0.2.bax.h5
m140408_054129	liver	m140408_054129_42141_c110031780070000001823100905301411_s1_p0.3.bax.h5
m140408_054526	liver	m140408_054526_sherri_c110020411270000001823099305201404_s1_p0.1.bax.h5
m140408_054526	liver	m140408_054526_sherri_c110020411270000001823099305201404_s1_p0.2.bax.h5
m140408_054526	liver	m140408_054526_sherri_c110020411270000001823099305201404_s1_p0.3.bax.h5
m140408_090042	liver	m140408_090042_42141_c110031780070000001823100905301412_s1_p0.1.bax.h5
m140408_090042	liver	m140408_090042_42141_c110031780070000001823100905301412_s1_p0.2.bax.h5
m140408_090042	liver	m140408_090042_42141_c110031780070000001823100905301412_s1_p0.3.bax.h5
m140408_090610	liver	m140408_090610_sherri_c110020411270000001823099305201405_s1_p0.1.bax.h5
m140408_090610	liver	m140408_090610_sherri_c110020411270000001823099305201405_s1_p0.2.bax.h5
m140408_090610	liver	m140408_090610_sherri_c110020411270000001823099305201405_s1_p0.3.bax.h5
m140408_122301	liver	m140408_122301_42141_c110030790010000001823106505301450_s1_p0.1.bax.h5
m140408_122301	liver	m140408_122301_42141_c110030790010000001823106505301450_s1_p0.2.bax.h5
m140408_122301	liver	m140408_122301_42141_c110030790010000001823106505301450_s1_p0.3.bax.h5
m140408_122608	liver	m140408_122608_sherri_c110020411270000001823099305201406_s1_p0.1.bax.h5
m140408_122608	liver	m140408_122608_sherri_c110020411270000001823099305201406_s1_p0.2.bax.h5
m140408_122608	liver	m140408_122608_sherri_c110020411270000001823099305201406_s1_p0.3.bax.h5
