sample	tissue	path
m140213_133714	brain	m140213_133714_42142_c100632392550000001823124209121483_s1_p0.2.bax.h5
m140213_133714	brain	m140213_133714_42142_c100632392550000001823124209121483_s1_p0.3.bax.h5
m140213_160622	brain	m140213_160622_sherri_c110038432550000001823107706241484_s1_p0.1.bax.h5
m140213_160622	brain	m140213_160622_sherri_c110038432550000001823107706241484_s1_p0.2.bax.h5
m140213_160622	brain	m140213_160622_sherri_c110038432550000001823107706241484_s1_p0.3.bax.h5
m140213_192933	brain	m140213_192933_sherri_c110038432550000001823107706241485_s1_p0.1.bax.h5
m140213_192933	brain	m140213_192933_sherri_c110038432550000001823107706241485_s1_p0.2.bax.h5
m140213_192933	brain	m140213_192933_sherri_c110038432550000001823107706241485_s1_p0.3.bax.h5
m140220_010916	brain	m140220_010916_42141_c100623532550000001823111708061436_s1_p0.1.bax.h5
m140220_010916	brain	m140220_010916_42141_c100623532550000001823111708061436_s1_p0.2.bax.h5
m140220_010916	brain	m140220_010916_42141_c100623532550000001823111708061436_s1_p0.3.bax.h5
m140220_042756	brain	m140220_042756_42141_c100623532550000001823111708061437_s1_p0.1.bax.h5
m140220_042756	brain	m140220_042756_42141_c100623532550000001823111708061437_s1_p0.2.bax.h5
m140220_042756	brain	m140220_042756_42141_c100623532550000001823111708061437_s1_p0.3.bax.h5
m140220_074709	brain	m140220_074709_42141_c100633500150000001823121009121490_s1_p0.1.bax.h5
m140220_074709	brain	m140220_074709_42141_c100633500150000001823121009121490_s1_p0.2.bax.h5
m140220_074709	brain	m140220_074709_42141_c100633500150000001823121009121490_s1_p0.3.bax.h5
m140220_110624	brain	m140220_110624_42141_c100633500150000001823121009121491_s1_p0.1.bax.h5
m140220_110624	brain	m140220_110624_42141_c100633500150000001823121009121491_s1_p0.2.bax.h5
m140220_110624	brain	m140220_110624_42141_c100633500150000001823121009121491_s1_p0.3.bax.h5
m140220_142535	brain	m140220_142535_42141_c100633500150000001823121009121492_s1_p0.1.bax.h5
m140220_142535	brain	m140220_142535_42141_c100633500150000001823121009121492_s1_p0.2.bax.h5
m140220_142535	brain	m140220_142535_42141_c100633500150000001823121009121492_s1_p0.3.bax.h5
m140220_174448	brain	m140220_174448_42141_c100633500150000001823121009121493_s1_p0.1.bax.h5
m140220_174448	brain	m140220_174448_42141_c100633500150000001823121009121493_s1_p0.2.bax.h5
m140220_174448	brain	m140220_174448_42141_c100633500150000001823121009121493_s1_p0.3.bax.h5
m140225_212801	brain	m140225_212801_42141_c100631202390000001823105309121430_s1_p0.1.bax.h5
m140225_212801	brain	m140225_212801_42141_c100631202390000001823105309121430_s1_p0.2.bax.h5
m140225_212801	brain	m140225_212801_42141_c100631202390000001823105309121430_s1_p0.3.bax.h5
m140226_004703	brain	m140226_004703_42141_c100631202390000001823105309121431_s1_p0.1.bax.h5
